content,source_file,chapter,section,subsection,department,system_category,content_type,chunk_type,hierarchy_level,parent_chunk,keywords,char_count,token_count
好发人群 女性好发，发病率为男性的2或3倍，可发生于任何年龄，高发年龄为40～60岁。症状体征 可伴有体重减轻、低热及疲乏感等全身症状。关节表现 （1）晨僵：早晨起床时关节活动不灵活的主观感觉，它是关节炎症的一种非特异表现，其持续时间与炎症的严重程度成正比。（2）关节受累的表现：①多关节受累，呈对称性多关节炎（常≥5个关节）。易受累的关节有手、足、腕、踝及颞颌关节等，其他还可有肘、肩、颈椎、髋、膝关节等。②关节畸形，手的畸形有梭形肿胀、尺侧偏斜、天鹅颈样畸形、钮孔花样畸形等。足的畸形有跖骨头向下半脱位引起的仰趾畸形、外翻畸形、跖趾关节半脱位、弯曲呈锤状趾及足外翻畸形。③其他，可有正中神经/胫后神经受压引起的腕管∕跗管综合征等表现。关节外表现 （1）一般表现：可有发热、类风湿结节（属于机化的肉芽肿，与高滴度RF、严重的关节破坏及RA活动有关，好发于肘部、关节鹰嘴突、骶部等关节隆突部及经常受压处）、类风湿血管炎（主要累及小动脉的坏死性小动脉炎，可表现为指、趾端坏死、皮肤溃疡、外周神经病变等）及淋巴结肿大。（2）心脏受累：可有心包炎、心包积液、心外膜、心肌及瓣膜的结节、心肌炎、冠状动脉炎、主动脉炎、传导障碍、慢性心内膜炎及心瓣膜纤维化等表现。（3）呼吸系统受累：可有胸膜炎、胸腔积液、肺动脉炎、间质性肺疾病和结节性肺病等。（4）肾脏表现：主要有原发性肾小球及肾小管间质性肾炎、肾脏淀粉样变和继发于药物治疗（金制剂、青霉胺及NSAIDs）的肾功能损害。（5）神经系统：除周围神经受压的症状外，还可诱发神经疾病、脊髓病、外周神经病、继发于血管炎的缺血性神经病、肌肥大及药物引起的神经系统病变。（6）贫血：是RA最常见的关节外表现，属于慢性疾病性贫血，常为轻至中度。（7）消化系统：可因RA血管炎、并发症或药物治疗所致。（8）眼：幼年患者可有葡萄膜炎，成人可有巩膜炎，可能由血管炎所致。,临床药物治疗学\content\chap16.tex,免疫性疾病的药物治疗,类风湿关节炎,临床表现,风湿免疫科,免疫性疾病,药物治疗,临床表现,3,,"关节,畸形,受累,表现,血管炎",795,397
还可有干燥性结膜角膜炎、巩膜软化、巩膜软化穿孔和角膜溶解。,临床药物治疗学\content\chap16.tex,免疫性疾病的药物治疗,类风湿关节炎,临床表现,风湿免疫科,免疫性疾病,药物治疗,临床表现,3,,"巩膜,软化,角膜炎,结膜,角膜",29,14
实验室检查 一般检查 血、尿常规、肝功能损害、C反应蛋白（C reactive protein，CRP）、生化（肝肾功能，A/G）、免疫球蛋白、蛋白电泳、补体等。自身抗体 RF-IgM、抗环状胍氨酸抗体、RF-IgG及RF-IgA、抗核周因子、抗角蛋白抗体，以及抗核抗体、抗ENA抗体等。遗传标记 HLA-DR4和HLA-DR1亚型。影像学检查 （1）X线片。关节X线片可见软组织肿胀、骨质疏松及病情进展后的关节面囊性变、侵袭性骨破坏、关节面模糊、关节间隙狭窄、关节融合及脱位。X线可分4期。Ⅰ期，正常或骨质疏松。Ⅱ期，骨质疏松，有轻度关节面下骨质侵袭或破坏，关节间隙轻度狭窄。Ⅲ期，关节面下明显的骨质侵袭和破坏，关节间隙明显狭窄，关节半脱位畸形。Ⅳ期，上述改变合并有关节纤维性或骨性强直。胸部X线片可见肺间质病变和胸腔积液等。（2）CT检查。胸部CT可进一步提示肺部病变，尤其高分辨CT对肺间质病变更敏感。（3）MRI检查。手关节及腕关节的MRI检查可提示早期的滑膜炎病变，对发现RA患者的早期关节破坏很有帮助。（4）超声。关节超声是简易的无创性检查，对于滑膜炎、关节积液以及关节破坏有鉴别意义。研究认为其与MRI有较好的一致性。特殊检查 （1）关节穿刺术。对于有关节腔积液的关节，关节液的检查包括关节液培养、RF检测、抗CCP抗体检测、抗核抗体等，并做偏振光检测鉴别痛风的尿酸盐结晶。（2）关节镜及关节滑膜活检：对RA的诊断及鉴别诊断很有价值，对于单关节难治性的RA有辅助的治疗作用。RA的诊断标准、分期、功能及活动性判断 美国风湿病学会1987年修订的RA分类标准 标准具体见表：其中≥4条可以确诊RA。①晨僵至少1h（≥6周）。②3个或3个以上关节受累（≥6周）。③手关节（腕、MCP或PIP关节）受累（≥6周）。④对称性关节炎（≥6周）。⑤有类风湿皮下结节。⑥X线片改变。,临床药物治疗学\content\chap16.tex,免疫性疾病的药物治疗,类风湿关节炎,诊断,风湿免疫科,免疫性疾病,药物治疗,诊断,3,,"关节,RA,X线,抗体,检查",791,395
⑦血清RF阳性（滴度＞1∶32）。病情分期 （1）早期：有滑膜炎，无软骨破坏。（2）中期：介于上、下间（有炎症、关节破坏、关节外表现）。（3）晚期：已有关节结构破坏，无进行性滑膜炎。关节功能分级 （1）Ⅰ级：功能状态完好，能完成平常任务无碍（能自由活动）。（2）Ⅱ级：能从事正常活动，但有1个或多个关节活动受限或不适（中度受限）。（3）Ⅲ级：只能胜任一般职业性任务或自理生活中的一部分（显著受限）。（4）Ⅳ级：大部分或完全丧失活动能力，需要长期卧床或依赖轮椅，很少或不能生活自理（卧床或轮椅）。活动性指标 （1）关节疼痛≥4个。（2）晨僵＞30min。（3）ESR≥30mm/h。（4）CRP增高。（5）血小板计数增高。（6）贫血。（7）RF（＋）1∶20以上。（8）有关节外表现（发热、贫血、血管炎等）。,临床药物治疗学\content\chap16.tex,免疫性疾病的药物治疗,类风湿关节炎,诊断,风湿免疫科,免疫性疾病,药物治疗,诊断,3,,"关节,受限,滑膜炎,RF,自理",353,176
药物治疗 本病尚缺乏根治方案以及预防措施，当前应用的药物均不能完全控制关节破坏。治疗目的主要：①控制关节及其他组织炎症，延缓病情的进展。②保持关节功能和防止畸形。③修复受损关节以减轻疼痛和恢复功能。为达到上述目的，早期诊断和早期治疗极为重要。治疗原则：①早期诊断，尽早治疗。早期发现进行性或侵袭性疾病患者，尽早应用改变病情药物以控制RA病变的进展。②联合用药：对重症患者应联合应用两种以上改变病情的药物，以使病情完全缓解。联合用药可减少单独用药的剂量，减少不良反应的发生。③治疗方案个体化：根据患者的病情、对药物的作用及不良反应等多方面情况选择个体化治疗方案。④功能锻炼：除急性期、发热以及内脏受累的患者需卧床休息和关节制动外，只要患者可以耐受，应及早地进行关节功能锻炼，以免过久的卧床导致关节废用，甚至促进关节强直。药物分类和作用机制 根据药物作用机制，WHO将抗RA药物分为：①改善症状抗风湿药（symptom modifying anti-rheumatic drugs，SM-ARDs）：这类药物改善炎症性滑膜炎的症状和临床表现，包括NSAIDs、糖皮质激素（glucocorticoid）、改变病情抗风湿药（disease-modifying anti-rheumatic drugs，DMARDs）。②控制疾病的抗风湿治疗药（disease controlling anti-rheumatic therapy，DC-ART）：这类药物能改变RA的病程。其作用为：①改善并维持关节功能，降低滑膜炎症。②防止或明显降低关节病变的进展，且至少维持1年。迄今尚无堪称DC-ART的药物。习惯上把治疗RA的药物分为一线、二线及三线药物（具体见表）。一线药物主要是NSAIDs。二线药物是指DMARDs。三线药物是糖皮质激素类药物。,临床药物治疗学\content\chap16.tex,免疫性疾病的药物治疗,类风湿关节炎,治疗,风湿免疫科,免疫性疾病,药物治疗,概述,3,,"药物,关节,治疗,RA,病情",767,383
\paragraph 此类药物作用机理是抑制环氧化酶（cyclooxygenase，COX），导致炎症介质前列腺素合成减少，从而使炎症减轻，达到消炎止痛的作用。特点是起效快，可缓解关节疼痛及晨僵等症状，但不能控制病情进展。现已发现COX有两种亚型，即COX-1和COX-2，COX-1为结构酶，其底物PGs主要参与调节机体的生理功能，如调节外周血管张力，维持肾血流量，保护胃黏膜及调节血小板聚集等功能。COX-2是诱导酶，存在于白细胞中，炎症和疼痛时合成PGs，临床宜选用不良反应小的COX-2选择性抑制剂。常用的NSAIDs用法及不良反应如表所示。\paragraph 该类药物可以减轻RA的关节症状和体征并延缓关节病变的进展。本组药物包括传统的青霉胺、金制剂、柳氮磺吡啶、抗疟药（氯喹、羟氯喹）等。由于这组药物起效时间平均在6周以上，且其中多数药物并不具备阻止关节破坏的性能，故曾称为慢作用抗风湿药（slow acting anti-rheumatic drugs，SAARDs）。近年来本类药物包括了起效迅速的治疗关节炎的生物制剂（TNF阻滞剂，IL-1阻滞剂），故倾向用DMARDs名词。在广义上，DMARDs类药物中也应包括某些免疫抑制剂，通过抑制细胞和体液免疫反应使组织损伤得以减轻，如MTX、来氟米特、环磷酰胺、AZA等。此外，还包括多种用于RA的植物药制剂，如白芍总苷、雷公藤等，对缓解关节肿痛、晨僵均有较好的作用，但长期缓解病变的作用还需进一步研究。本类药物中常用的药物及其作用机制如表所示。糖皮质激素（Glucocorticoid） 糖皮质激素可有效减轻炎症肿痛、迅速缓解病情，但效果不持久，对病因和发病机理无影响，其主要机制是与靶细胞胞浆内的受体结合，抑制多种炎症因子介导的炎症。,临床药物治疗学\content\chap16.tex,免疫性疾病的药物治疗,类风湿关节炎,治疗,风湿免疫科,免疫性疾病,药物治疗,临床表现,3,,"COX,炎症,关节,类药物,起效",751,375
治疗药物的选用 \paragraph NSAIDs的功效并无太大差异，影响其选用的主要因素包括药物不良反应、服药是否方便、作用持续时间和费用等。无论选择何种NSAIDs，剂量都应个体化。只有在一种NSAIDs足量使用1～2周无效后才更改为另一种。避免同时服用2种或2种以上NSAIDs。老年人宜选用半衰期短的NSAIDs药物，对有溃疡病史的老年人，宜服用选择性COX-2抑制剂以减少胃肠道不良反应。常用的DMARDs DMARDs不能迅速地抗炎止痛，但有改善和延缓病情进展的作用。从疗效和费用等考虑，一般首选MTX，并将它作为联合治疗的基本药物。一般对单用一种DMARDs疗效不好或进展性、预后不良和难治性RA患者可采用机制不同的DMARDs联合治疗。目前常用的联合方案有：①MTX＋SSZ。②MTX＋羟氯喹（或氯喹）。③MTX＋青霉胺。④MTX＋金诺芬。⑤MTX＋AZA。⑥SSZ＋羟氯喹。国内还可采用MTX和植物药（雷公藤多甙和白芍总甙等）联合治疗。如患者对MTX不能耐受，可改用来氟米特或其他DMARDs，难治性RA可用MTX＋来氟米特或多种DMARDs联合治疗。治疗RA应迅速给予NSAIDs缓解疼痛和炎症，尽早使用DMARDs，以减少或延缓骨破坏。早期积极、合理使用DMARDs治疗是减少致残的关键。症状缓解后，为防止病情复发原则上不停药，但也可依据病情逐渐减量维持治疗，直至最终停用。糖皮质激素 一般说来激素不能作为治疗RA的首选药，一旦停药短期内复发，长期应用可导致严重不良反应。治疗药物的相互作用 （1）糖皮质激素与MTX合用可加重后者的毒性作用，两者联用应减少MTX的用量。两药长期联用有可能引起膀胱移行细胞癌，应定期尿检。糖皮质激素与环磷酰胺联用可提高免疫抑制作用，并减少用量。（2）几乎所有的NSAIDs都可抑制MTX肾排泄，增加MTX毒性。,临床药物治疗学\content\chap16.tex,免疫性疾病的药物治疗,类风湿关节炎,治疗,风湿免疫科,免疫性疾病,药物治疗,治疗,3,,"MTX,DMARDs,NSAIDs,治疗,RA",782,391
老人、肾衰者及叶酸耗竭者易受影响，老人和肾功能不全者慎用。常用治疗方案的选用 金字塔模式 金字塔模式的原则是对RA初发患者从一线药物开始，即以NSAIDs为首选药物。如果不能控制病情或患者不能耐受时，再改用二线药物，即DMARDs。如仍不能控制病情则改用三线药物，即糖皮质激素。在使用二线、三线乃至更高层次的药物时，底层的基础治疗仍可继续。下台阶模式 对病情较重的RA患者，一般在2年内发生骨侵蚀性改变。如果遵循金字塔模式易错过治疗时机。Wilske于1990年提出了下台阶模式，其原则是早期使用起效快的糖皮质激素（或NSAIDs）和MTX控制炎症，一旦炎症得到控制，即逐渐停用第一台阶的药物而改用DMARDs，最大限度地发挥各种药物的不同作用。下台阶模式的目的是为了在关节出现损害之前控制病情，并缩短DMARDs的使用时间减轻其不良反应。目前下台阶模式已被广泛采用。锯齿形模式 1990年Fries提出了锯齿形模式，其原则是RA一旦确诊，早期使用DMARDs。一旦发现病情加重或复发，即改变DMARDs，重新控制病情，使RA的病程呈锯齿形。免疫净化 RA患者血中常有高滴度自身抗体、大量循环免疫复合物、高免疫球蛋白等。因此，除药物治疗外，可选用免疫净化疗法，快速去除血浆中的免疫复合物和过高的免疫球蛋白、自身抗体等。如免疫活性淋巴细胞过多，还可采用单个核细胞清除疗法，从而改善T、B细胞及巨噬细胞和自然杀伤细胞功能，降低血液黏滞度，以达到改善症状的目的，同时提高药物治疗的效果。目前常用的免疫净化疗法包括血浆置换、免疫吸附和淋巴细胞/单核细胞去除术，被置换的病理性成分可以是淋巴细胞、粒细胞、免疫球蛋白或血浆等，应用此方法时需配合药物治疗。功能锻炼 必须强调，功能锻炼是RA患者关节功能得以恢复及维持的重要方法。一般说来，在关节肿痛明显的急性期，应适当限制关节活动。,临床药物治疗学\content\chap16.tex,免疫性疾病的药物治疗,类风湿关节炎,治疗,风湿免疫科,免疫性疾病,药物治疗,治疗,3,,"RA,免疫,药物,DMARDs,模式",784,392
但是，一旦肿痛改善，应在不增加患者痛苦的前提下进行功能活动。对无明显关节肿痛，但伴有可逆性关节活动受限者，应鼓励其进行正规的功能锻炼。在有条件的医疗机构，应在风湿病专科及康复专科医师的指导下进行。外科治疗 经内科治疗不能控制及严重关节功能障碍的RA患者，外科手术是有效的治疗手段。外科治疗的范围从腕管综合征的松解术、肌腱撕裂后修补术至滑膜切除及关节置换术。,临床药物治疗学\content\chap16.tex,免疫性疾病的药物治疗,类风湿关节炎,治疗,风湿免疫科,免疫性疾病,药物治疗,治疗,3,,"关节,治疗,肿痛,专科,外科",178,89
系统性红斑狼疮（systemic lupus erythematosus，SLE）是严重危害人体健康的常见病，由自身免疫介导，以免疫性炎症为突出表现的弥漫性结缔组织病。患者体内出现大量自身抗体（以抗核抗体为代表）和多系统累及是SLE的两个主要临床特征。本病女性约占90％，常为育龄妇女。我国患病率约为70/10万。病因与发病机制 病因 SLE病因尚不清楚，可能与环境、性激素、药物和遗传等多种因素有关。遗传素质 SLE有遗传倾向性及家族发病聚集性，同卵孪生者共患SLE的频率（25％～50％）明显高于异卵孪生者（5％），SLE患者近亲中本病的发生率高于一般人群SLE的发病率，说明SLE存在遗传的易感性。环境因素 （1）日光。日光过敏见于40％的SLE患者，表现为光照部位出现红斑，皮疹加重或全身情况恶化等，称为光敏感现象。使SLE患者出现光敏感现象的紫外线主要是波长为290～320nm的紫外线B，具有较强的穿透能力，可穿过云雾层和玻璃。（2）感染。许多间接依据提示SLE的发病与某些感染因素有关，特别是病毒感染，可通过分子模拟或超抗原作用引起自身免疫反应。（3）药物。含有芳香族胺基团或联胺基团的药物可诱发药物性狼疮，可分为两类：第一类是诱发SLE症状的药物，如青霉胺、磺胺类、保泰松和金制剂等。第二类是引起狼疮样综合征的药物，如肼屈嗪、普鲁卡因胺和苯妥英钠，这类药物在应用较长时间和较大剂量后患者可出现SLE的临床症状及实验室改变，SLE患者应慎用。性激素 SLE在女性多发，在育龄妇女多发，妊娠期和产后哺乳期可诱发本病或使病情活动，提示雌激素对SLE的发病及加重有促进作用。目前研究发现，SLE患者体内雌激素水平增高，雄激素降低，同时泌乳素增高可能对SLE病情有影响。发病机制 本病发病机制尚未完全清楚。,临床药物治疗学\content\chap16.tex,免疫性疾病的药物治疗,系统性红斑狼疮,,风湿免疫科,免疫性疾病,药物治疗,概述,2,,"SLE,发病,患者,本病,药物",756,378
一般认为是在遗传、环境和性激素等多种因素作用下，引起机体免疫调节功能紊乱，出现T、B淋巴细胞和巨噬细胞功能异常，造成免疫耐受异常，致使淋巴细胞不能正确识别自身组织，导致自身免疫反应的发生和持续。B淋巴细胞 SLE的突出特点是B淋巴细胞功能亢进，95％以上的患者抗核抗体呈阳性。可能是环境因素（感染）或超抗原等刺激B淋巴细胞引起B细胞丧失自身耐受，或T辅助淋巴细胞功能亢进促使B细胞保持持续的高活跃状态而产生多种自身抗体，特别是抗核抗体（antinuclear antibodies），这是本病的免疫学特点，也是本病发生和延续的主要因素之一。T淋巴细胞 T细胞是产生和保证自身免疫耐受的主要原因，SLE存在T细胞的多种异常。表现为T抑制细胞（CD$_8^+$ ）减少，T辅助细胞（CD$_4^+$ ）功能过强及“双阴性”（CD$_4^-$CD$_8^-$ ）T细胞增加。SLE中大多数致病性自身抗体的产生都是依赖于T细胞。细胞因子异常 研究发现SLE患者细胞因子分泌异常。狼疮中单核细胞自发产生IL-1和IL-6增加，在活动期更明显，这些细胞因子引起B细胞多克隆活化产生自身抗体。IL-1可诱导IL-8、IL-6、TNF等炎症因子产生，与狼疮肾炎有关，IL-1活性与光过敏亦有关。几乎所有SLE患者血清中IL-2水平均升高，且活动期比缓解期高，IL-2为T细胞的生长因子，由CD$_4^+$ 细胞产生。在SLE活动期，IL-10水平升高，IgG生成增加。临床表现 全身症状 起病可急可缓，多数早期表现为非特异的全身症状，如发热，尤以低热常见，以及全身不适、乏力、体重减轻等。病情常缓重交替出现。感染、日晒、药物、精神创伤、手术等均可诱发或加重。皮肤和黏膜 皮疹常见，约40％患者有面部典型红斑称为蝶形红斑。急性期有水肿、色鲜红，略有毛细血管扩张及鳞片状脱屑，严重者出现水疱、溃疡、皮肤萎缩和色素沉着。,临床药物治疗学\content\chap16.tex,免疫性疾病的药物治疗,系统性红斑狼疮,,风湿免疫科,免疫性疾病,药物治疗,治疗,2,,"IL,SLE,细胞,淋巴细胞,CD",799,399
手掌大小鱼际、指端及指（趾）甲周红斑，身体皮肤暴露部位有斑丘疹、紫斑等。出现各种皮肤损害者约占总患病数的80％，毛发易断裂，可有斑秃。15％～20％的患者有雷诺现象。口腔黏膜出现水泡、溃疡，约占12％。少数患者病程中发生带状疱疹。关节、肌肉 约90％以上患者有关节肿痛，且往往是就诊的首发症状，最易受累的是手近端指间关节，膝、足、髁、腕关节均可累及。关节肿痛多呈对称性。约半数患者有晨僵。X线检查常无明显改变，仅少数患者有关节畸形。肌肉酸痛、无力是常见症状。肾脏 约50％患者有肾脏疾病临床表现，如蛋白尿、血尿、管型尿、白细胞尿、低比重尿、浮肿、血压增高、血尿素氮和肌酐增高等，电子显微镜和免疫荧光检查几乎均有肾脏病理学异常。胃肠道 部分患者可表现为胃肠道症状，如上消化道出血、便血、腹水、麻痹性肠梗阻等，这是由于胃肠道的血管炎所致，如肠系膜血管炎。肠系膜血管的动、静脉伴行，支配胃肠营养和功能，如发生病变，则所支配的部位产生相应症状，严重时累及生命。肠系膜血管炎可以导致胃肠道黏膜溃疡、小肠和结肠水肿、梗阻、出血、腹水等，出现腹痛、腹胀、腹泻、便血和黑粪、麻痹性肠梗阻等临床表现。如不及时诊断、治疗，可致肠坏死、穿孔，造成严重后果。神经系统 SLE的神经累及又称为神经精神性狼疮，往往与SLE活动性相关。轻者仅有偏头痛、性格改变、轻度认知障碍。重者可表现为脑血管意外、昏迷、癫痫 持续状态等。癫痫 是中枢神经系统受累的最常见表现，以大发作多见。神经精神狼疮以弥漫性的高级皮层功能障碍为表现的多与抗神经元抗体、抗核糖体P蛋白抗体相关，以局灶性神经定位体征为表现的多伴有抗磷脂抗体阳性或有全身血管炎或明显病情活动。肝 SLE引起的肝功能损害主要表现为肝肿大、黄疸、肝功能异常以及血清中可存在多种自身抗体等。其中，肝肿大约占10％～32％，多在肋下2～3cm，少数可明显肿大。,临床药物治疗学\content\chap16.tex,免疫性疾病的药物治疗,系统性红斑狼疮,,风湿免疫科,免疫性疾病,药物治疗,概述,2,,"患者,血管炎,关节,胃肠道,SLE",786,393
红斑狼疮引起黄疸的原因很多，主要有溶血性贫血、合并病毒性肝炎，胆道梗阻及急性胰腺炎等。约30％～60％的红斑狼疮患者可有肝功能试验异常，主要表现为转氨酶水平升高、血清白蛋白水平降低、球蛋白水平及血脂水平升高等。红斑狼疮合并肝功能损害常常为轻、中度肝功能异常，严重肝功能损害者较少见。SLE可并发I型自身免疫性肝炎（狼疮性肝炎），多发生于年轻的女性，临床上可表现为乏力、关节痛、发热、肝脾肿大、黄疸等。心脏 约10％～50％的患者出现心脏病变，可能由于疾病本身，也可能由于长期服用糖皮质激素治疗引起。心脏病变包括心包炎、心肌炎、心内膜及瓣膜病变等，依个体病变不同，表现有胸闷、胸痛、心悸、心脏扩大、充血性心力衰竭和心律失常等。肺 肺和胸膜受累约占50％，其中约10％患狼疮性肺炎、胸膜炎和胸腔积液较常见，肺实质损害多数为间质性肺炎和肺间质纤维化，引起肺不张和肺功能障碍。狼疮性肺炎的特征是肺部有斑状浸润，可由一侧转到另一侧，激素治疗能使影消除。在狼疮性肺损害基础上，常继发细菌感染。血液系统 SLE患者常有贫血、白细胞和血小板计数减少。活动性SLE约60％的患者有慢性贫血，10％属溶血性贫血，约40％患者白细胞计数减少或淋巴细胞绝对数减少，本病所致的白细胞计数减少一般发生在治疗前或疾病复发时，大多对激素敏感，与细胞毒药物所致细胞减少不同。约20％患者有血小板计数减少，发生各系统出血如鼻出血、牙龈出血、皮肤紫癜、血尿、便血、颅内出血等。其他 部分患者在病变活动时出现淋巴结和腮腺肿大。眼部受累较普遍，如结合膜炎和视网膜病变，少数视力障碍。患者可有月经紊乱和闭经。,临床药物治疗学\content\chap16.tex,免疫性疾病的药物治疗,系统性红斑狼疮,,风湿免疫科,免疫性疾病,药物治疗,治疗,2,,"狼疮性,患者,肝功能,计数,SLE",682,341
